Timestamps [ms],RightFootEE,,,RightToeBase,,,RightFoot,,,RightLeg,,,RightUpLeg,,,LeftFootEE,,,LeftToeBase,,,LeftFoot,,,LeftLeg,,,LeftUpLeg,,,RightHandEE,,,RightHandPinkyEE,,,RightHandPinky3,,,RightHandPinky2,,,RightHandPinky1,,,RightHandRingEE,,,RightHandRing3,,,RightHandRing2,,,RightHandRing1,,,RightHandMiddleEE,,,RightHandMiddle3,,,RightHandMiddle2,,,RightHandMiddle1,,,RightHandIndexEE,,,RightHandIndex3,,,RightHandIndex2,,,RightHandIndex1,,,RightHandThumbEE,,,RightHandThumb3,,,RightHandThumb2,,,RightHandThumb1,,,RightHand,,,RightForeArm,,,RightArm,,,RightShoulder,,,LeftHandEE,,,LeftHandPinkyEE,,,LeftHandPinky3,,,LeftHandPinky2,,,LeftHandPinky1,,,LeftHandRingEE,,,LeftHandRing3,,,LeftHandRing2,,,LeftHandRing1,,,LeftHandMiddleEE,,,LeftHandMiddle3,,,LeftHandMiddle2,,,LeftHandMiddle1,,,LeftHandIndexEE,,,LeftHandIndex3,,,LeftHandIndex2,,,LeftHandIndex1,,,LeftHandThumbEE,,,LeftHandThumb3,,,LeftHandThumb2,,,LeftHandThumb1,,,LeftHand,,,LeftForeArm,,,LeftArm,,,LeftShoulder,,,HeadEE,,,Head,,,Neck,,,Spine4,,,Spine3,,,Spine2,,,Spine1,,,Spine,,,Hips,,,
0,227.829,3988.63,167.498,218.913,4052.09,125.524,199.505,4148.99,38.2774,173.098,3937.94,-295.16,137.371,3805.54,-689.015,-207.071,4054.24,139.23,-172.414,4111.57,102.078,-109.192,4197.01,24.0911,-70.1303,3990.03,-310.66,-32.0014,3842.98,-699.054,239.8,3642.5,-595.214,216.675,3693.29,-574.972,226.32,3684.04,-568.06,237.546,3674.13,-569.452,256.025,3659.25,-587.96,204.04,3685.3,-563.316,212.08,3677.24,-552.947,232.469,3659.93,-556.192,248.475,3649.1,-584.945,193.626,3672.81,-551.994,202.644,3663.89,-542.646,224.013,3647.3,-547.982,241.232,3638.43,-579.541,189.777,3656.56,-536.454,202.239,3646.33,-536.521,218.983,3635,-549.801,232.863,3629.65,-582.898,206.771,3647.13,-554.857,200.099,3643.17,-582.76,198.547,3645.6,-611.577,213.203,3642.34,-645.36,231.496,3656.44,-659.879,266.894,3708.6,-902.061,181.967,3622.43,-1155.54,75.5088,3629.85,-1177.23,-200.653,3743,-590.578,-168.09,3773.54,-575.82,-173.813,3771.25,-562.097,-188.326,3767.85,-560.064,-207.346,3765.3,-583.238,-162.97,3759.37,-563.49,-167.3,3756.88,-548.924,-193.704,3751.54,-548.321,-206.284,3752.62,-580.582,-161.526,3743.28,-547.81,-169.925,3739.55,-535.011,-196.702,3735.35,-540.071,-206.073,3739.54,-575.648,-167.455,3724.52,-521.709,-182.982,3722.07,-525.311,-199.005,3722.16,-543.434,-202.744,3727.89,-579.068,-171.563,3717.64,-546.627,-166.466,3723.68,-574.334,-161.045,3728.19,-602.268,-170.904,3731.6,-637.561,-177.645,3753.58,-652.249,-152.166,3774.46,-900.324,-103.373,3673.59,-1157.88,-0.292114,3647.52,-1181.41,-37.297,3564.95,-1432.85,15.0247,3607.29,-1285.07,41.4401,3645.93,-1218.74,52.8581,3706.5,-1169.19,57.0876,3754.71,-1042.01,56.8089,3775.37,-952.539,55.607,3789.24,-876.777,62.2893,3842.74,-787.141,55.8863,3830.42,-725.07,
20,227.327,3988.42,167.228,218.062,4051.95,125.444,198.379,4149.02,38.4458,174.05,3937.73,-295,139.724,3805.3,-688.968,-207.086,4054.1,139.191,-172.13,4111.25,102.033,-108.561,4196.36,23.9658,-68.0256,3988.56,-310.102,-29.6365,3842.81,-698.959,240.364,3639.65,-594.461,220.342,3692.35,-574.863,229.257,3682.63,-567.627,239.795,3671.95,-568.758,257.268,3655.62,-587.019,205.903,3684.41,-563.159,213.528,3675.92,-552.82,233.133,3657.68,-555.793,249.224,3645.83,-584.094,193.155,3671.1,-551.873,201.893,3661.61,-542.83,222.986,3644.61,-547.99,241.437,3635.51,-578.777,188.618,3654.73,-536.755,200.761,3644.12,-536.762,217.598,3632.51,-549.683,232.707,3627.13,-582.231,204.311,3645.97,-554.455,199.086,3642.78,-582.761,198.83,3645.18,-611.621,214.328,3640.73,-644.889,233.411,3653.98,-659.199,270.487,3706.67,-901.015,184.428,3622.94,-1154.93,78.0874,3630.14,-1177.27,-199.939,3742.81,-591.157,-166.233,3775.16,-576.21,-172.975,3772.94,-562.946,-187.448,3769.19,-561.265,-206.753,3765.13,-583.984,-161.636,3759.74,-564.478,-166.145,3757.36,-549.951,-192.523,3751.91,-549.221,-205.69,3752.46,-581.26,-159.668,3742.26,-548.133,-168.522,3738.24,-535.736,-195.312,3734.4,-541.02,-205.499,3739.41,-576.265,-165.606,3723.07,-522.305,-181.088,3720.82,-526.221,-197.248,3721.37,-544.213,-202.111,3727.75,-579.599,-168.584,3718.56,-546.671,-163.95,3723.83,-574.614,-159.107,3728.12,-602.69,-169.704,3731.27,-637.792,-176.347,3753.17,-652.645,-150.357,3774.89,-900.594,-100.698,3674.47,-1158.16,2.2655,3647.72,-1181.44,-35.0326,3565.44,-1432.87,17.518,3607.62,-1285.11,44.0061,3646.19,-1218.78,55.344,3706.76,-1169.21,59.5097,3754.96,-1042.03,59.2071,3775.56,-952.539,57.993,3789.35,-876.763,64.6649,3842.7,-787.035,58.2508,3830.27,-724.987,
40,228.024,3989.15,166.749,218.174,4052.76,125.219,197.912,4149.92,38.4557,175.644,3937.58,-294.467,142.587,3805.69,-688.726,-206.705,4054.63,139.07,-171.647,4111.65,101.808,-108.16,4196.55,23.4472,-65.436,3987.52,-309.579,-26.882,3842.7,-698.765,242.102,3635.69,-593.974,225.753,3689.65,-573.52,234.193,3679.38,-566.475,243.996,3668.06,-567.877,259.89,3650.73,-586.652,209.93,3681.97,-561.464,217.49,3672.86,-551.617,236.167,3653.78,-555.258,251.469,3641.27,-583.711,194.842,3667.72,-550.129,203.686,3657.53,-541.984,224.395,3640.31,-547.902,243.333,3631.22,-578.393,190.038,3651.07,-535.778,201.896,3640.15,-536.305,218.507,3628.48,-549.458,234.15,3623.31,-581.788,203.502,3643.8,-553.162,199.294,3641.72,-581.74,199.617,3644.27,-610.586,215.021,3638.89,-643.758,234.371,3651.5,-658.277,275.788,3704.7,-899.276,187.741,3625.57,-1153.98,81.4034,3630.59,-1176.92,-199.79,3742.92,-592.106,-165.249,3777.1,-576.264,-173.484,3775.1,-563.833,-187.968,3771.13,-562.976,-206.793,3765.43,-585.745,-161.753,3760.52,-564.9,-166.912,3758.52,-550.532,-193.326,3753.19,-550.455,-205.96,3752.81,-582.711,-159.919,3741.68,-547.472,-169.693,3737.67,-535.785,-196.325,3734.42,-542.152,-206.113,3739.86,-577.445,-166.677,3722.25,-521.93,-181.972,3720.39,-526.691,-197.685,3721.4,-545.056,-202.647,3728.12,-580.365,-167.146,3720.48,-545.422,-162.11,3724.29,-573.534,-157.026,3727.85,-601.668,-167.34,3730.22,-636.915,-173.073,3751.85,-652.531,-148.28,3775.74,-900.403,-97.2561,3675.59,-1157.81,5.42862,3647.57,-1180.82,-32.5842,3564.98,-1431.99,20.4588,3607.51,-1284.52,47.0165,3646.29,-1218.34,58.0911,3707.05,-1168.93,62.4069,3755.56,-1041.88,62.2258,3776.22,-952.402,61.0396,3789.99,-876.621,67.4979,3843.13,-786.755,61.0677,3830.51,-724.749,
60,228.328,3989.74,166.315,218.183,4053.51,125.091,197.926,4150.91,38.5997,177.039,3937.2,-293.531,145.742,3806.59,-688.361,-206.678,4055.36,138.875,-171.465,4112.24,101.55,-108.075,4196.98,22.9365,-62.3453,3986.52,-308.782,-23.9744,3842.48,-698.28,244.89,3632.22,-593.452,229.254,3686.32,-572.285,237.885,3676.02,-565.524,247.598,3664.66,-567.249,262.815,3647.29,-586.538,212.901,3678.51,-559.727,220.958,3669.23,-550.443,239.643,3650.32,-554.817,254.561,3637.73,-583.438,196.334,3662.83,-548.186,205.93,3652.57,-541.054,227.053,3636.17,-547.785,246.676,3627.56,-577.98,192.094,3645.95,-534.64,204.239,3635.39,-535.74,221.125,3624.37,-549.103,237.436,3619.63,-581.165,203.396,3641.03,-551.541,200.221,3639.46,-580.285,200.761,3641.76,-609.149,216.126,3635.86,-642.251,234.891,3648.79,-657.248,281.4,3702.37,-897.231,191.573,3628.83,-1152.99,85.248,3631.21,-1176.4,-199.307,3743.53,-592.764,-163.148,3778.11,-575.972,-172.512,3776.25,-564.346,-187.059,3772.42,-564.112,-205.889,3766.26,-586.757,-160.972,3760.41,-565.432,-166.473,3758.69,-551.154,-193.02,3754.08,-551.346,-205.537,3753.64,-583.647,-159.45,3739.99,-547.314,-169.943,3736.08,-536.226,-196.539,3734.11,-543.232,-206.264,3740.73,-578.341,-166.737,3719.74,-522.36,-181.918,3718.76,-527.711,-197.465,3720.98,-546.109,-203.032,3728.88,-581.084,-164.786,3721.36,-544.653,-159.808,3723.98,-572.91,-154.945,3727.27,-601.117,-165.575,3729.68,-636.268,-170.086,3751.39,-652.17,-146.386,3776.16,-900.063,-93.3279,3676.62,-1157.29,9.06377,3647.29,-1179.98,-29.1072,3564.72,-1431.21,24.0779,3607.49,-1283.85,50.4874,3646.46,-1217.72,61.0864,3707.4,-1168.44,65.4318,3756.19,-1041.49,65.356,3776.9,-952.029,64.2126,3790.66,-876.245,70.3707,3843.7,-786.3,64.0462,3830.92,-724.313,
80,228.604,3989.83,165.852,218.372,4053.81,124.98,198.542,4151.57,38.7996,178.685,3936.2,-292.327,148.735,3807.55,-687.901,-205.576,4054.77,139.172,-170.824,4111.83,101.686,-108.625,4197,22.5834,-58.7219,3985.2,-307.681,-21.2464,3842.21,-697.651,248.025,3629.69,-592.559,230.185,3683.1,-571.325,239.423,3673.25,-564.685,249.637,3662.36,-566.538,265.324,3645.64,-586.016,213.907,3674.83,-558.44,222.729,3665.88,-549.537,242.261,3647.93,-554.242,257.643,3635.66,-582.758,196.854,3657.46,-546.755,207.51,3647.74,-540.408,229.646,3632.92,-547.52,250.418,3625.08,-577.155,193.539,3640.5,-533.964,206.384,3630.85,-535.395,224.052,3620.96,-548.631,241.518,3616.71,-580.15,203.065,3638.08,-550.103,201.107,3636.44,-578.951,201.977,3638.08,-607.852,217.94,3632.01,-640.638,235.657,3645.92,-656.028,286.932,3699.75,-894.982,195.443,3632.15,-1151.79,89.2212,3631.89,-1175.78,-197.781,3743.94,-593.163,-160.782,3779.15,-576.229,-170.823,3777.36,-565.17,-185.369,3773.52,-565.27,-204.326,3766.81,-587.65,-159.453,3761.08,-566.4,-164.937,3759.67,-552.081,-191.515,3755.24,-552.11,-204.154,3754.23,-584.351,-157.595,3739.64,-547.554,-168.442,3735.84,-536.773,-195.028,3734.41,-543.947,-205.118,3741.4,-578.88,-164.4,3718.47,-522.938,-179.504,3718.01,-528.569,-195.178,3720.91,-546.763,-201.916,3729.49,-581.37,-160.612,3722.89,-543.887,-156.064,3724.28,-572.303,-151.768,3727.23,-600.639,-163.086,3729.2,-635.602,-167.022,3750.71,-651.923,-145.055,3776.39,-899.882,-89.2212,3677.87,-1156.92,12.8498,3647.11,-1179.14,-24.5354,3565.03,-1430.88,28.1682,3607.69,-1283.32,54.1737,3646.74,-1217.08,64.2267,3707.82,-1167.86,68.4135,3756.84,-1040.99,68.3429,3777.59,-951.538,67.1994,3791.31,-875.749,73.0297,3844.27,-785.73,66.8395,3831.34,-723.761,
100,228.656,3990.17,165.673,218.578,4054.39,125.144,199.606,4152.58,39.2576,180.665,3935.34,-290.696,151.836,3809.43,-687.236,-204.747,4054.42,139.463,-170.395,4111.67,101.897,-109.385,4197.29,22.3702,-55.5194,3984.28,-306.487,-18.5637,3842.04,-696.779,250.938,3627.03,-591.752,231.872,3679.41,-569.492,241.598,3669.84,-563.162,252.143,3659.34,-565.389,267.907,3643.43,-585.485,215.932,3670.88,-556.295,225.379,3662.06,-547.926,245.365,3644.83,-553.372,260.68,3633.14,-582.165,198.838,3652.48,-544.573,210.282,3643.13,-539.123,232.87,3629.41,-546.989,254.011,3622.23,-576.529,196.063,3635.45,-532.686,209.316,3626.48,-534.684,227.29,3617.45,-548.121,245.299,3613.61,-579.386,203.836,3635.17,-548.161,202.344,3633.7,-577.045,203.103,3635.07,-605.964,219.165,3629.2,-638.739,235.867,3643.99,-654.442,292.177,3697.08,-892.426,199.26,3635.72,-1150.29,93.1796,3632.52,-1174.69,-196.19,3744.83,-593.07,-158.01,3779.26,-575.862,-168.505,3777.7,-565.196,-183.144,3774.25,-565.562,-202.285,3767.91,-587.892,-157.775,3761.32,-566.812,-163.142,3760.24,-552.42,-189.819,3756.45,-552.26,-202.493,3755.36,-584.484,-155.878,3739.24,-547.505,-167.007,3735.76,-536.908,-193.612,3735.19,-544.135,-203.889,3742.6,-578.927,-162.376,3717.11,-523.388,-177.441,3717.4,-529.137,-193.244,3721.21,-547.049,-200.929,3730.59,-581.248,-157.581,3723.41,-542.922,-153.284,3724,-571.405,-149.281,3726.8,-599.799,-160.977,3728.87,-634.632,-164.035,3750.32,-651.214,-143.666,3776.53,-899.254,-85.2024,3678.67,-1155.95,16.6244,3646.84,-1177.8,-19.4502,3565.32,-1430.33,32.3764,3607.78,-1282.4,57.8146,3646.91,-1215.99,67.3349,3708.18,-1166.9,71.4322,3757.63,-1040.19,71.3884,3778.52,-950.773,70.2531,3792.29,-874.993,75.5819,3845.28,-784.962,69.6182,3832.25,-722.992,
120,228.658,3990.42,165.431,218.898,4054.94,125.286,201.004,4153.67,39.7879,182.616,3934.88,-289.176,154.908,3812.29,-686.833,-203.724,4054.16,139.943,-169.875,4111.6,102.207,-110.316,4197.72,22.1131,-52.6924,3983.24,-305.151,-15.9408,3842.56,-696.029,253.877,3625.28,-590.353,232.426,3676.21,-567.715,242.597,3667.13,-561.359,253.667,3657.21,-563.663,270.116,3642.39,-584.037,216.819,3667.23,-554.47,226.771,3658.76,-546.32,247.537,3642.56,-551.995,263.444,3631.71,-580.794,200.346,3648.23,-542.983,212.412,3639.42,-537.967,235.598,3626.86,-546.028,257.391,3620.39,-575.255,198.006,3631.18,-531.808,211.714,3622.98,-534.03,230.201,3614.84,-547.338,249.069,3611.4,-578.14,204.695,3632.55,-546.5,203.726,3630.88,-575.396,204.679,3631.95,-604.321,221.38,3626.65,-636.873,237.125,3642.49,-652.546,296.868,3694.58,-889.914,202.848,3638.77,-1148.64,96.9737,3632.82,-1173.41,-193.272,3745.7,-591.905,-153.627,3778.59,-575.05,-164.092,3777.16,-564.337,-178.842,3774.2,-564.526,-198.728,3768.88,-586.47,-154.076,3761.05,-566.978,-158.863,3760.03,-552.38,-185.603,3756.89,-551.303,-199.208,3756.31,-583.159,-151.523,3738.45,-547.733,-162.565,3735.19,-536.978,-189.375,3735.48,-543.422,-200.855,3743.55,-577.688,-157.049,3715.23,-524.415,-172.264,3716.24,-529.664,-188.742,3721.04,-546.711,-198.223,3731.49,-580.139,-152.924,3722.42,-542.545,-149.471,3723.15,-571.14,-146.266,3726.29,-599.601,-158.967,3729.22,-634.017,-161.687,3750.87,-650.389,-142.327,3776.38,-898.584,-81.3093,3679.21,-1154.96,20.2282,3646.13,-1176.28,-13.6551,3565.22,-1429.95,36.6878,3607.43,-1281.44,61.2807,3646.66,-1214.76,70.1847,3708.17,-1165.86,74.1437,3758.26,-1039.41,74.1397,3779.46,-950.06,73.0566,3793.47,-874.322,77.9249,3846.8,-784.467,72.2973,3833.89,-722.443,
140,229.123,3990.96,165.337,219.624,4055.56,125.28,202.596,4154.6,39.9585,184.462,3933.78,-287.654,158.255,3816.37,-686.976,-202.668,4054,140.473,-169.251,4111.58,102.563,-111.098,4198.13,21.9083,-50.3104,3982.31,-303.897,-13.1461,3843.58,-695.433,256.879,3624.13,-588.727,233.81,3673.67,-565.63,244.191,3664.93,-559.135,255.63,3655.44,-561.466,272.579,3641.64,-582.142,218.389,3664.27,-552.384,228.62,3656.01,-544.368,249.928,3640.6,-550.229,266.304,3630.66,-579.097,202.729,3645.43,-541.304,215.102,3636.93,-536.505,238.588,3625.02,-544.677,260.689,3619.02,-573.774,200.528,3628.36,-530.707,214.479,3620.62,-533.08,233.246,3613.01,-546.311,252.654,3609.82,-576.802,206.557,3630.79,-544.702,205.744,3628.91,-573.59,206.799,3629.97,-602.513,223.955,3625.46,-634.947,239.013,3642.18,-650.37,300.804,3692.67,-887.559,205.802,3641.67,-1146.91,100.215,3632.95,-1172.1,-190.516,3746.76,-591.098,-149.908,3778.27,-574.367,-160.489,3777.14,-563.732,-175.328,3774.68,-563.96,-195.446,3770.09,-585.858,-150.957,3761.36,-566.869,-155.531,3760.59,-552.187,-182.321,3758.09,-550.745,-196.246,3757.56,-582.462,-148.098,3738.86,-547.244,-159.323,3736.06,-536.548,-186.161,3736.98,-542.811,-198.23,3744.89,-576.912,-153.338,3715.4,-524.629,-168.61,3716.88,-529.594,-185.417,3722.12,-546.184,-195.873,3732.75,-579.264,-150.467,3721.96,-541.424,-147.024,3722.88,-570.014,-143.734,3725.78,-598.49,-156.372,3729.16,-632.889,-158.477,3750.75,-649.428,-140.844,3776.4,-897.737,-77.9303,3679.59,-1153.79,23.2925,3645.28,-1174.65,-7.96866,3564.85,-1429.65,40.5393,3606.82,-1280.46,64.1516,3646.18,-1213.51,72.5097,3708.01,-1164.91,76.4986,3759.01,-1038.82,76.6531,3780.73,-949.599,75.7461,3795.12,-873.931,80.1721,3849,-784.384,75.0938,3836.32,-722.264,
160,228.488,3991.47,165.259,219.504,4056.15,125.215,203.62,4155.59,40.1294,185.591,3933.6,-286.704,161.345,3820.36,-687.348,-201.89,4054.2,140.939,-168.781,4111.83,102.831,-111.852,4198.63,21.5735,-48.2205,3981.32,-302.698,-10.5023,3844.86,-694.976,259.722,3623.64,-587.275,235.509,3671.95,-563.878,245.885,3663.43,-557.098,257.587,3654.24,-559.338,274.999,3641.33,-580.206,220.055,3662.16,-550.729,230.36,3653.99,-542.719,252.073,3639.15,-548.591,268.975,3630.14,-577.458,205.243,3643.99,-540.254,217.665,3635.6,-535.389,241.313,3623.94,-543.45,263.622,3618.24,-572.449,202.969,3626.93,-530.043,217.032,3619.4,-532.405,235.989,3612.02,-545.494,255.808,3608.93,-575.731,208.765,3629.88,-543.444,208.019,3627.78,-572.318,209.259,3629.03,-601.225,226.863,3625.39,-633.528,241.559,3642.84,-648.481,303.074,3691,-886.226,208.492,3644.13,-1146.51,102.926,3632.93,-1170.79,-187.646,3747.96,-590.428,-145.696,3777.76,-573.917,-156.442,3777.12,-563.408,-171.375,3775.31,-563.693,-191.753,3771.53,-585.503,-147.332,3761.42,-566.749,-151.898,3761.01,-552.05,-178.752,3759.52,-550.411,-193.042,3759.08,-581.968,-144.579,3739.24,-546.416,-156.18,3737.19,-535.954,-182.955,3739.01,-542.287,-195.537,3746.55,-576.286,-150.26,3716.29,-524.511,-165.546,3718.3,-529.245,-182.538,3723.88,-545.532,-193.612,3734.31,-578.475,-149.006,3721.39,-540.173,-145.301,3722.54,-568.722,-141.638,3724.77,-597.213,-153.842,3728.61,-631.719,-155.017,3750.07,-648.528,-139.268,3776.52,-896.879,-75.1108,3679.68,-1152.61,25.8632,3644.4,-1173.05,-2.1481,3564.48,-1429.6,44.0679,3606.11,-1279.59,66.5458,3645.57,-1212.31,74.4468,3707.74,-1164.06,78.4966,3759.77,-1038.4,78.8242,3782.06,-949.313,78.1194,3796.87,-873.724,82.2254,3851.28,-784.477,77.6893,3838.83,-722.267,
180,227.805,3991.84,165.214,219.166,4056.48,125.014,204.029,4156.17,40.0874,186.78,3933.43,-286.277,163.748,3823.6,-687.943,-201.625,4054.48,141.164,-168.674,4112.05,102.845,-112.702,4198.93,21.0041,-46.2967,3980.24,-301.777,-8.38278,3846.25,-694.89,262.621,3623.46,-586.223,238.497,3670.97,-562.208,248.761,3662.46,-555.241,260.517,3653.35,-557.523,277.856,3641.05,-578.814,222.967,3660.95,-548.991,233.265,3652.69,-541.07,255.045,3638.06,-547.205,271.908,3629.76,-576.308,208.935,3643.77,-539.028,221.232,3635.25,-534.087,244.733,3623.37,-542.261,266.65,3617.7,-571.564,206.492,3626.87,-528.96,220.476,3619.23,-531.428,239.278,3611.7,-544.653,258.861,3608.45,-575.027,212.16,3629.9,-542.003,210.958,3627.58,-570.845,211.97,3629.15,-599.745,229.435,3626.2,-632.194,243.939,3644.1,-646.801,304.298,3690.35,-885.221,210.678,3646.09,-1146.31,105.136,3633,-1169.73,-184.263,3747.98,-589.824,-141.874,3777.57,-573.408,-152.727,3776.8,-563.018,-167.663,3775.02,-563.269,-188.431,3771.5,-584.755,-143.231,3761.44,-566.623,-147.863,3760.93,-551.948,-174.697,3759.36,-550.077,-189.699,3759.02,-581.303,-139.751,3739.38,-545.724,-151.726,3737.5,-535.658,-178.488,3739.27,-542.06,-192.177,3746.45,-575.707,-145.247,3716.85,-524.973,-160.63,3718.77,-529.418,-178.06,3724.14,-545.309,-190.221,3734.23,-577.971,-145.745,3720.62,-539.714,-141.983,3722.58,-568.211,-138.222,3724.56,-596.708,-150.34,3728.97,-631.177,-151.531,3750.53,-647.849,-138.014,3777.15,-896.313,-72.7031,3679.99,-1151.63,27.9147,3643.43,-1171.59,3.31512,3563.63,-1429.59,47.104,3605.2,-1278.83,68.3392,3644.91,-1211.3,75.7134,3707.49,-1163.49,79.8988,3760.73,-1038.34,80.4688,3783.59,-949.406,79.9802,3798.78,-873.889,83.8896,3853.46,-784.801,79.7514,3841.1,-722.545,
200,227.428,3992.03,165.063,218.739,4056.61,124.77,203.621,4156.35,39.9091,188.557,3933.19,-286.272,165.576,3825.98,-688.648,-202.442,4055.33,141.022,-169.178,4112.62,102.555,-113.358,4199.2,20.2912,-45.1082,3979.36,-301.322,-6.72925,3847.42,-695.082,265.562,3624.49,-585.04,241.243,3671.3,-560.93,251.391,3662.93,-553.634,263.251,3653.94,-555.828,280.607,3642.14,-577.389,225.6,3661.07,-547.7,235.872,3652.86,-539.691,257.828,3638.49,-545.823,274.772,3630.76,-575.034,212.315,3644.73,-538.259,224.462,3636.2,-532.969,247.967,3624.19,-540.949,269.633,3618.59,-570.45,209.807,3628.18,-528.003,223.768,3620.47,-530.386,242.523,3612.78,-543.588,261.943,3609.3,-574.04,215.584,3631.05,-540.834,214.064,3628.24,-569.618,214.953,3629.91,-598.517,232.405,3627.47,-631.016,246.741,3645.71,-645.376,304.455,3690.88,-884.656,212.271,3648.24,-1146.52,106.807,3632.97,-1168.95,-181.743,3746.33,-590.306,-141.245,3778.41,-572.647,-152.458,3776.72,-562.761,-167.237,3773.99,-563.419,-187.614,3769.45,-585.086,-141.405,3762.26,-566.067,-146.68,3761.22,-551.639,-173.392,3757.87,-550.517,-188.171,3756.87,-581.835,-136.762,3740.47,-544.399,-149.371,3737.92,-535.301,-175.909,3737.99,-542.788,-189.999,3744.08,-576.483,-141.661,3718.24,-525.09,-157.051,3719.06,-529.837,-174.595,3723.08,-546,-187.169,3732.05,-578.833,-142.971,3720.92,-539.288,-138.511,3723.84,-567.603,-133.964,3725.87,-595.98,-145.303,3730.19,-630.725,-147.362,3751.87,-647.156,-136.557,3777.52,-895.855,-70.6791,3680.77,-1151.18,29.4812,3642.65,-1170.51,8.58464,3562.93,-1429.93,49.7404,3604.38,-1278.41,69.7111,3644.28,-1210.59,76.7046,3707.23,-1163.22,80.9983,3761.61,-1038.56,81.7517,3784.99,-949.766,81.4264,3800.47,-874.308,85.2188,3855.24,-785.273,81.3551,3842.88,-723.001,
220,226.298,3992.25,165,217.866,4056.72,124.481,203.237,4156.39,39.4498,190.126,3932.81,-286.532,167.031,3827.82,-689.486,-203.481,4056.29,140.837,-169.776,4113.2,102.196,-113.832,4199.29,19.499,-44.5159,3978.69,-301.369,-5.35486,3848.68,-695.691,268.15,3626.34,-584.41,244.287,3672.74,-560.137,254.389,3664.53,-552.598,266.274,3655.58,-554.833,283.177,3644.06,-576.897,228.663,3662.48,-546.692,238.969,3654.36,-538.635,260.945,3640.1,-544.952,277.431,3632.64,-574.495,215.973,3646.81,-537.541,227.993,3638.3,-531.936,251.404,3626.11,-539.906,272.407,3620.44,-569.871,213.5,3630.78,-526.842,227.394,3622.96,-529.24,245.917,3615,-542.609,264.731,3611.11,-573.391,219.421,3633.44,-539.672,217.194,3629.93,-568.333,217.541,3631.44,-597.253,234.492,3629.19,-630.029,248.574,3647.52,-644.519,304.015,3692.33,-884.402,213.612,3649.73,-1146.9,108.23,3632.74,-1168.46,-178.86,3745.42,-590.094,-138,3777.67,-572.337,-149.278,3775.57,-562.604,-164.03,3772.68,-563.178,-184.99,3768.35,-584.325,-137.583,3761.41,-565.755,-143.181,3759.93,-551.487,-169.853,3756.25,-550.426,-185.408,3755.69,-581.377,-132.62,3739.45,-543.649,-145.655,3736.76,-535.213,-172.096,3736.65,-543.035,-187.095,3742.76,-576.334,-137.728,3717.72,-525.688,-153.155,3718.3,-530.352,-170.924,3722.03,-546.335,-184.131,3730.81,-578.97,-139.4,3720.06,-539.62,-135.11,3723.57,-567.893,-130.676,3725.69,-596.283,-142.231,3730.66,-630.868,-144.525,3752.71,-646.776,-134.379,3777.87,-895.552,-68.864,3681.46,-1151.1,30.8247,3641.8,-1169.75,13.4803,3561.89,-1430.37,52.0977,3603.38,-1278.18,70.8703,3643.5,-1210.16,77.5716,3706.8,-1163.23,82.0012,3762.28,-1039.06,82.9225,3786.17,-950.397,82.7144,3801.94,-875,86.4435,3856.79,-786.009,82.7065,3844.43,-723.729,
240,225.096,3992.36,165.089,216.841,4056.66,124.269,202.604,4156.1,38.9013,192.023,3932.05,-286.846,167.993,3829.14,-690.282,-203.592,4056.56,141.311,-169.521,4113.12,102.461,-113.509,4198.74,19.3349,-44.4912,3978.47,-301.818,-4.41135,3849.83,-696.501,270.397,3629.22,-583.816,245.974,3674.77,-559.511,256.141,3666.92,-551.675,268.231,3658.25,-553.886,284.994,3647.32,-576.354,230.451,3664.23,-546.081,240.868,3656.42,-537.862,263.177,3642.69,-544.169,279.525,3635.77,-573.919,218.333,3648.71,-537.33,230.357,3640.5,-531.311,254.028,3628.67,-539.052,274.798,3623.47,-569.262,216.106,3633.14,-526.201,230.131,3625.52,-528.482,248.739,3617.74,-541.838,267.35,3613.94,-572.755,222.44,3635.91,-539.076,219.878,3631.62,-567.603,219.896,3632.89,-596.536,236.671,3631.13,-629.433,250.303,3649.76,-643.975,303.662,3694.39,-884.363,214.872,3650.7,-1147.23,109.568,3632.59,-1168.25,-175.342,3743.84,-589.648,-133.992,3776.52,-572.883,-145.115,3774.13,-563.041,-159.838,3771.04,-563.234,-181.644,3766.61,-583.487,-132.873,3760.15,-565.8,-138.623,3758.39,-551.627,-165.237,3754.38,-550.309,-181.868,3753.91,-580.696,-127.526,3738.26,-543.303,-140.757,3735.48,-535.211,-167.214,3735.08,-542.968,-183.325,3740.9,-575.795,-132.623,3717.15,-526.081,-148.124,3717.43,-530.522,-166.234,3720.73,-546.215,-180.264,3729.03,-578.633,-134.351,3719.67,-540.006,-130.685,3723.1,-568.376,-126.864,3725.08,-596.865,-139.198,3730.03,-631.183,-142.002,3752.25,-646.766,-132.437,3777.75,-895.532,-67.2293,3682.05,-1151.43,32.1123,3641.23,-1169.42,18.358,3561.17,-1431.08,54.4478,3602.66,-1278.28,72.0653,3642.95,-1210.05,78.5269,3706.53,-1163.46,82.9469,3762.89,-1039.69,83.9146,3787.18,-951.137,83.7271,3803.18,-875.787,87.3886,3858.05,-786.808,83.6569,3845.67,-724.53,
